epsilon_beta1,epsilon_beta2,F_preparation,F_after_hold,minimum_F_hold,C_after_hold,norm_error,photonic_population_after_hold
0.01,-0.03,0.995784611871677,0.995779921175447,0.99576424349695,0.995766970480125,2.33146835171283e-14,0.00420712812925371
0.02,-0.03,0.99580990389362,0.995791016430152,0.99575973141291,0.995777478151154,1.19904086659517e-14,0.00419544529085625
0.03,-0.03,0.995824515165628,0.995791782712701,0.995744961565438,0.995777625576552,9.65894031423886e-15,0.00419406015115036
0.04,-0.03,0.995828755635587,0.995782533826012,0.995720525170974,0.995767725662911,8.77076189453874e-14,0.00420265801097158
0.05,-0.03,0.995822945844121,0.995763593885142,0.995686750207273,0.99574810164173,1.28785870856518e-13,0.00422091387157256
0.06,-0.03,0.995807416107619,0.995735296507377,0.995643973867248,0.995719086263133,5.01820807130571e-14,0.00424849324836088
0.07,-0.03,0.99578250573132,0.995697984008643,0.995592541748423,0.995681020995968,1.73416836446449e-13,0.00428505297851575
0.08,-0.03,0.995748562167075,0.995652006579112,0.995532807037399,0.995634255207123,2.35811370430383e-13,0.0043302420486634
0.09,-0.03,0.995705940194969,0.995597721459676,0.995465129684399,0.995579145341701,2.86992651865603e-13,0.00438370242206861
0.1,-0.03,0.995655001092933,0.995535492112495,0.995389875571895,0.995516054097287,1.39999123405232e-13,0.00444506987228571
-0.1,-0.02,0.994768536270932,0.994939971160327,0.994535986875838,0.994932395258355,2.40474307133809e-13,0.00505245293792431
-0.09,-0.02,0.994928203300418,0.995081996844225,0.994721229851849,0.995074128649737,2.66231481305113e-13,0.00491013496102648
-0.08,-0.02,0.995074700279939,0.99521114302347,0.994892968027906,0.995202961585187,2.77000644643977e-13,0.00478067553797044
-0.07,-0.02,0.995208172732793,0.995327562082056,0.995051336058791,0.995319045616282,2.15938378289593e-13,0.00466392145195588
-0.06,-0.02,0.995328784365353,0.995431424321528,0.995196487147359,0.995422550191073,4.46309655899313e-14,0.00455970154799116
-0.05,-0.02,0.99543671650861,0.995522917396548,0.99532859249512,0.995513662091939,1.23900889548167e-13,0.0044678272989579
-0.04,-0.02,0.995532167530781,0.995602245721301,0.995447840713458,0.995592584844468,1.12576614696991e-13,0.00438809340197014
-0.03,-0.02,0.995615352194695,0.995669629839904,0.995554437205309,0.995659538090514,5.26245713672324e-14,0.00432027841075852
-0.02,-0.02,0.99568650103046,0.99572530578101,0.995648603520548,0.995714756945617,3.30846461338297e-14,0.00426414538362739
-0.01,-0.02,0.995745859644705,0.995769524373103,0.995730576687676,0.995758491317266,1.97619698383278e-14,0.0042194425710763
0,-0.02,0.995793688022801,0.995802550545254,0.995793688022801,0.995791005208791,5.92526028242446e-13,0.00418590411769213
0.01,-0.02,0.995830259811165,0.995824662608087,0.995809095163085,0.99581257600347,2.48689957516035e-14,0.00416325078731941
0.02,-0.02,0.995855861560444,0.995836151502469,0.995805092218453,0.995823493716781,1.26565424807268e-14,0.00415119071185076
0.03,-0.02,0.99587079198524,0.995837320046127,0.995790805563821,0.995824060246273,1.28785870856518e-14,0.00414942015402611
