xi_t,deltaK_over_K0_0_001,deltaK_over_K0_0_005,deltaK_over_K0_0_01,deltaK_over_K0_0_05,deltaK_over_K0_0_1
168.4375,0.999166707731125,0.979394358372253,0.9203209598952,0.152301229392613,0.00442497541483291
168.75,0.999165166953763,0.979356638398402,0.920179616877941,0.151772142233988,0.00438089972784745
169.0625,0.999163626178777,0.979318919877281,0.920038295568162,0.151244893098749,0.00433726306390757
169.375,0.999162085406167,0.979281202808835,0.919896995962528,0.150719475601692,0.00429406105005285
169.6875,0.999160544635934,0.979243487193009,0.919755718057708,0.150195883379793,0.00425128935688047
170,0.999159003868076,0.979205773029745,0.919614461850367,0.149674110092135,0.0042089436981113
170.3125,0.999157463102594,0.979168060318988,0.919473227337173,0.149154149419826,0.00416701983016041
170.625,0.999155922339488,0.979130349060683,0.919332014514795,0.148635995065929,0.0041255135517118
170.9375,0.999154381578757,0.979092639254773,0.919190823379901,0.148119640755379,0.00408442070329732
171.25,0.999152840820403,0.979054930901202,0.919049653929161,0.147605080234914,0.00404373716687991
171.5625,0.999151300064425,0.979017223999914,0.918908506159244,0.147092307272991,0.0040034588654409
171.875,0.999149759310823,0.978979518550854,0.91876738006682,0.146581315659718,0.0039635817625714
172.1875,0.999148218559597,0.978941814553965,0.918626275648561,0.146072099206777,0.00392410186206782
172.5,0.999146677810746,0.978904112009192,0.918485192901138,0.145564651747344,0.00388501520753144
172.8125,0.999145137064272,0.978866410916478,0.918344131821222,0.145058967136022,0.00384631788197186
173.125,0.999143596320173,0.978828711275768,0.918203092405485,0.144555039248761,0.00380800600741453
173.4375,0.999142055578451,0.978791013087006,0.918062074650601,0.144052861982786,0.00377007574451207
173.75,0.999140514839104,0.978753316350136,0.917921078553243,0.143552429256522,0.00373252329215955
174.0625,0.999138974102133,0.978715621065102,0.917780104110085,0.143053735009522,0.00369534488711356
174.375,0.999137433367538,0.978677927231848,0.917639151317801,0.142556773202393,0.00365853680361512
174.6875,0.99913589263532,0.978640234850317,0.917498220173065,0.142061537816722,0.00362209535301624
175,0.999134351905477,0.978602543920456,0.917357310672554,0.141568022855003,0.00358601688341031
175.3125,0.999132811178009,0.978564854442206,0.917216422812943,0.141076222340567,0.00355029777926615
175.625,0.999131270452918,0.978527166415513,0.917075556590908,0.140586130317506,0.00351493446106565
175.9375,0.999129729730203,0.97848947984032,0.916934712003127,0.140097740850602,0.00347992338494509
176.25,0.999128189009864,0.978451794716572,0.916793889046276,0.139611048025258,0.00344526104233996
176.5625,0.9991266482919,0.978414111044212,0.916653087717034,0.139126045947423,0.00341094395963339
176.875,0.999125107576312,0.978376428823185,0.91651230801208,0.138642728743519,0.00337696869780802
177.1875,0.9991235668631,0.978338748053435,0.916371549928091,0.138161090560377,0.00334333185210141
177.5,0.999122026152265,0.978301068734907,0.916230813461749,0.137681125565159,0.00331003005166479
177.8125,0.999120485443804,0.978263390867543,0.916090098609731,0.13720282794529,0.00327705995922527
178.125,0.99911894473772,0.978225714451288,0.91594940536872,0.136726191908389,0.00324441827075143
