xi_t,P_gg_with_CD,P_eg_with_CD,P_ge_with_CD,P_photon_with_CD,concurrence_target,concurrence_without_CD,concurrence_with_CD,bell_fidelity_without_CD,bell_fidelity_with_CD,conditional_bell_fidelity_with_CD,u1,u2,Omega_pi_over_xi,Omega_CD_over_xi
16.22,1.10144093722701e-19,0.61634894715962,0.379531240014707,0.00411981282557543,0.972795385647916,0.0145744903773229,0.96731314515466,0.502577917807592,0.981596666164494,0.985657390122037,0.557830859812391,0.706275252179325,0,0.0497411735469411
16.23,1.10144093722701e-19,0.615867463976726,0.38001123751606,0.00412129850711757,0.973025135237369,0.0145887692737283,0.967546499413176,0.502577414894847,0.981712600452981,0.985775274620724,0.558181739619591,0.705997978435666,0,0.0496389497533553
16.24,1.10144093722701e-19,0.615386862223225,0.380490367648795,0.00412277012788273,0.973253453829743,0.014603024966801,0.967778432191075,0.502576907942962,0.981827831031547,0.985892438928161,0.558531759709525,0.705721101707878,0,0.049536589532427
16.25,1.10144093722701e-19,0.614907144358822,0.380968627883602,0.00412422775747982,0.97348034650139,0.0146172574222679,0.968008948434267,0.502576396976509,0.981942360338345,0.986008885553362,0.558880919886013,0.705444623898548,0,0.0494340936325425
16.26,1.10144093722701e-19,0.614428312829967,0.381446015704145,0.00412567146579156,0.973705818334028,0.0146314666061044,0.968238053093991,0.502575882020034,0.982056190814052,0.986124617008253,0.559229219959003,0.705168546904955,0,0.049331462803855
16.27,1.10144093722701e-19,0.613950370069845,0.381922528607097,0.0041271013229615,0.973929874414594,0.0146456524845368,0.968465751126674,0.502575363098058,0.982169324901808,0.986239635807602,0.559576659744564,0.704892872619036,0,0.0492286977982853
16.28,1.10144093722701e-19,0.613473318498365,0.382398164102157,0.00412851739938117,0.974152519835099,0.0146598150240469,0.9686920474938,0.502574840235083,0.982281765047161,0.986353944468945,0.559923239064874,0.704617602927361,0,0.0491257993695211
16.29,1.10144093722701e-19,0.612997160522149,0.382872919712077,0.0041299197656771,0.974373759692483,0.0146739541913748,0.968916947161784,0.502574313455591,0.982393513698006,0.986467545512512,0.560268957748212,0.704342739711096,0,0.0490227682730171
16.3,1.10144093722701e-19,0.612521898534523,0.383346792972683,0.00413130849269787,0.974593599088472,0.0146880699535228,0.969140455101836,0.502573782784051,0.982504573304521,0.986580441461154,0.560613815628951,0.704068284845972,0,0.0489196052659956
16.31,1.10144093722701e-19,0.612047534915501,0.383819781432901,0.00413268365150118,0.97481204312943,0.0147021622777584,0.969362576289829,0.502573248244919,0.982614946319116,0.986692634840272,0.560957812547542,0.70379424020226,0,0.0488163111074453
16.32,1.10144093722701e-19,0.611574072031783,0.384291882654779,0.00413404531334085,0.975029096926215,0.0147162311316185,0.969583315706172,0.502572709862641,0.982724635196367,0.986804128177741,0.56130094835051,0.703520607644736,0,0.0487128865581231
16.33,1.10144093722701e-19,0.61110151223674,0.38476309421351,0.00413539354965391,0.975244765594039,0.014730276482912,0.969802678335677,0.50257216766166,0.982833642392963,0.986914924003841,0.561643222890444,0.703247389032647,0,0.0486093323805515
16.34,1.10144093722701e-19,0.610629857870404,0.385233413697451,0.00413672843204762,0.975459054252316,0.0147442982997239,0.970020669167426,0.502571621666413,0.982941970367641,0.987025024851181,0.561984636025983,0.702974586219689,0,0.0485056493390221
16.35,1.10144093722701e-19,0.610159111259463,0.385702838708154,0.00413805003228655,0.975671968024529,0.0147582965504184,0.970237293194647,0.502571071901338,0.983049621581132,0.987134433254628,0.562325187621813,0.702702201053969,0,0.0484018381995921
16.36,1.10144093722701e-19,0.609689274717248,0.386171366860376,0.00413935842227961,0.975883512038075,0.0147722712036423,0.970452555414577,0.502570518390876,0.9831565984961,0.987243151751235,0.562664877548653,0.702430235377977,0,0.0482978997300865
16.37,1.10144093722701e-19,0.609220350543723,0.386638995782113,0.00414065367406724,0.976093691424131,0.0147862222283282,0.970666460828336,0.502569961159472,0.983262903577086,0.987351182880169,0.563003705683244,0.702158691028556,0,0.0481938347000975
16.38,1.10144093722701e-19,0.608752341025481,0.387105723114613,0.00414193585980844,0.976302511317505,0.0148001495936982,0.970879014440796,0.502569400231584,0.983368539290446,0.987458529182636,0.563341671908347,0.701887569836871,0,0.0480896438809837
16.39,1.10144093722701e-19,0.608285248435734,0.387571546512401,0.00414320505176797,0.976509976856496,0.014814053269267,0.97109022126045,0.502568835631676,0.983473508104293,0.987565193201812,0.563678776112724,0.701616873628379,0,0.0479853280458723
16.4,1.10144093722701e-19,0.607819075034301,0.388036463643299,0.00414446132230355,0.976716093182751,0.0148279332248449,0.971300086299288,0.502568267384231,0.983577812488443,0.98767117748277,0.564015018191137,0.701346604222799,0,0.0478808879696559
16.41,1.10144093722701e-19,0.607353823067603,0.388500472188447,0.00414570474385304,0.976920865441122,0.0148417894305417,0.97150861457266,0.502567695513748,0.983681454914355,0.987776484572409,0.56435039804433,0.701076763434081,0,0.0477763244289957
