map,x,y,final_Bell_fidelity,final_concurrence,final_atomic_population,max_norm_error
loading,-0.0333333333333333,0.0583333333333333,0.993152972373864,0.993143056619167,0.993162888128562,2.31509256209961e-11
loading,-0.0333333333333333,0.0666666666666667,0.993152972373869,0.993143056619171,0.993162888128566,2.31510366432985e-11
loading,-0.0333333333333333,0.075,0.993152972373862,0.993143056619164,0.993162888128559,2.31508145986936e-11
loading,-0.0333333333333333,0.0833333333333333,0.993152972373861,0.993143056619164,0.993162888128559,2.31507035763912e-11
loading,-0.0333333333333333,0.0916666666666667,0.993152972373862,0.993143056619164,0.993162888128559,2.3151147665601e-11
loading,-0.0333333333333333,0.1,0.993152972373858,0.99314305661916,0.993162888128555,2.31539232231626e-11
loading,-0.025,-0.1,0.994345758105597,0.994335830441975,0.99435568576922,2.31494823310641e-11
loading,-0.025,-0.0916666666666667,0.994345758105601,0.994335830441979,0.994355685769223,2.31462626842927e-11
loading,-0.025,-0.0833333333333333,0.994345758105608,0.994335830441986,0.99435568576923,2.31463737065951e-11
loading,-0.025,-0.075,0.994345758105602,0.99433583044198,0.994355685769225,2.31445973497557e-11
loading,-0.025,-0.0666666666666667,0.994345758105602,0.99433583044198,0.994355685769224,2.3145152461268e-11
loading,-0.025,-0.0583333333333333,0.994345758105605,0.994335830441983,0.994355685769227,2.31450414389656e-11
loading,-0.025,-0.05,0.994345758105608,0.994335830441985,0.994355685769229,2.31441532605459e-11
loading,-0.025,-0.0416666666666667,0.9943457581056,0.994335830441978,0.994355685769222,2.3146817795805e-11
loading,-0.025,-0.0333333333333333,0.994345758105603,0.994335830441981,0.994355685769225,2.31452634835705e-11
loading,-0.025,-0.025,0.9943457581056,0.994335830441978,0.994355685769222,2.31472618850148e-11
loading,-0.025,-0.0166666666666667,0.994345758105604,0.994335830441982,0.994355685769226,2.31439312159409e-11
loading,-0.025,-0.00833333333333333,0.994345758105606,0.994335830441984,0.994355685769228,2.3143709171336e-11
loading,-0.025,0,0.994345758105602,0.99433583044198,0.994355685769224,2.31448193943606e-11
loading,-0.025,0.00833333333333333,0.994345758105604,0.994335830441982,0.994355685769226,2.31448193943606e-11
loading,-0.025,0.0166666666666667,0.994345758105602,0.99433583044198,0.994355685769224,2.31450414389656e-11
loading,-0.025,0.025,0.994345758105602,0.994335830441981,0.994355685769225,2.31442642828483e-11
loading,-0.025,0.0333333333333333,0.994345758105603,0.994335830441981,0.994355685769225,2.31457075727803e-11
loading,-0.025,0.0416666666666667,0.994345758105602,0.994335830441979,0.994355685769224,2.31454855281754e-11
loading,-0.025,0.05,0.994345758105608,0.994335830441986,0.99435568576923,2.31425989483114e-11
loading,-0.025,0.0583333333333333,0.994345758105605,0.994335830441982,0.994355685769227,2.31462626842927e-11
loading,-0.025,0.0666666666666667,0.994345758105603,0.994335830441981,0.994355685769225,2.31435981490336e-11
loading,-0.025,0.075,0.9943457581056,0.994335830441978,0.994355685769222,2.31467067735025e-11
loading,-0.025,0.0833333333333333,0.994345758105611,0.994335830441989,0.994355685769233,2.31445973497557e-11
loading,-0.025,0.0916666666666667,0.9943457581056,0.994335830441977,0.994355685769222,2.31471508627124e-11
loading,-0.025,0.1,0.9943457581056,0.994335830441978,0.994355685769222,2.31465957512e-11
loading,-0.0166666666666667,-0.1,0.995198332074365,0.995188395898548,0.995208268250183,2.313937930154e-11
loading,-0.0166666666666667,-0.0916666666666667,0.995198332074362,0.995188395898544,0.995208268250179,2.31382690785153e-11
loading,-0.0166666666666667,-0.0833333333333333,0.995198332074359,0.995188395898541,0.995208268250177,2.31391572569351e-11
loading,-0.0166666666666667,-0.075,0.995198332074354,0.995188395898537,0.995208268250172,2.31434871267311e-11
loading,-0.0166666666666667,-0.0666666666666667,0.995198332074363,0.995188395898545,0.995208268250181,2.31380470339104e-11
loading,-0.0166666666666667,-0.0583333333333333,0.995198332074363,0.995188395898546,0.995208268250181,2.3137713967003e-11
