delta_k,selected_plus_root,other_plus_root,selected_minus_root,other_minus_root
0.0229086765276777,9.89789073295473e-06,0.0188534437348437,9.89789073295494e-06,0.0188534437348439
0.0251188643150958,1.43017419890229e-05,0.0226571996257248,1.43017419890231e-05,0.022657199625725
0.0275422870333817,2.06635111763918e-05,0.0272260382215141,2.06635111763921e-05,0.0272260382215144
0.0301995172040202,2.98525820419438e-05,0.0327128054015272,2.98525820419443e-05,0.0327128054015275
0.0331131121482591,4.31235703069459e-05,0.0393004176576093,4.31235703069466e-05,0.0393004176576096
0.0363078054770101,6.22864301296978e-05,0.0472075703133708,6.22864301296987e-05,0.0472075703133711
0.0398107170553497,8.99512365771387e-05,0.0566954353789683,8.99512365771398e-05,0.0566954353789687
0.0436515832240166,0.000129880103379277,0.0680754769596245,0.000129880103379279,0.0680754769596249
0.0478630092322639,0.000187492565155891,0.0817185067195561,0.000187492565155893,0.0817185067195565
0.0524807460249773,0.000270590372208514,0.0980650821057604,0.000270590372208517,0.0980650821057609
0.0575439937337157,0.000390395263581481,0.117637307506581,0.000390395263581483,0.117637307506582
0.0630957344480193,0.000563031928731966,0.141052021135541,0.00056303192873197,0.141052021135541
0.0691830970918936,0.000811642035122971,0.169035220853102,0.000811642035122976,0.169035220853103
0.0758577575029184,0.00116938901305294,0.202437375944861,0.00116938901305294,0.202437375944861
0.0831763771102671,0.00168371355520311,0.242248955237053,0.00168371355520312,0.242248955237053
0.091201083935591,0.00242233376226325,0.289615028921126,0.00242233376226326,0.289615028921127
0.1,0.00348165892410534,0.345847111256539,0.00348165892410535,0.34584711125654
